Selector,Model,Avg_PCC,Avg_RMSD
RF Importance,Random Forest,0.41295695108528807,0.5423458095277025
Pearson (f_regression),Random Forest,0.41176831036913136,0.5440774378083084
Pearson (f_regression),XGBoost,0.40111514182113517,0.5505796386525217
RF Importance,XGBoost,0.38829987641225044,0.5534985272149867
RF Importance,Linear Regression,0.36898756374659947,0.5529010665446222
RFE (Recursive),XGBoost,0.3619290281560888,0.5572588176739932
Pearson (f_regression),Linear Regression,0.36046010249146365,0.5550409058823369
RFE (Recursive),Random Forest,0.3584124164426332,0.557278209654393
Mutual Information,Random Forest,0.3331405561362984,0.5691348003659604
Mutual Information,XGBoost,0.3330733736423259,0.568024211795532
Mutual Information,Linear Regression,0.3282695496825608,0.5614060929898617
RFE (Recursive),Linear Regression,0.2508495988776796,1666.6333050954327
